0,1
CS(=O)(=O)Cl,-4.87
CC(C)C=C,1.83
CCCC(C)(C)C,2.88
S,-0.7
CCOCC,-1.59
CCCCCCOC(=O)C,-2.26
CCCCC(=O)O,-6.16
CCBr,-0.74
CCCCCCO,-4.4
CCCCCCO[N+](=O)[O-],-1.66
C(Br)(Br)Br,-2.13
CCCOCCO,-6.4
CCCC(=O)O,-6.35
CC(=O)OCCOC(=O)C,-6.34
COC(C(F)(F)F)(OC)OC,-0.8
C(F)(F)(F)Br,1.79
CCCCO,-4.72
CCOC(=O)C,-2.94
CC(C)COC(=O)C(C)C,-1.69
CC(C)(C)OC,-2.21
CCC(=O)CC,-3.41
COC(=O)C(F)(F)F,-1.1
CC(=O)C(C)(C)C,-3.11
COS(=O)(=O)C,-4.87
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1
CC(C)NC(C)C,-3.22
CCCCCCCN,-3.79
CCC,2.0
C(Cl)Cl,-1.31
CC(C)(C)C(=O)OC,-2.4
C([N+](=O)[O-])(Cl)(Cl)Cl,-1.45
CCCCCCCC(=O)C,-2.49
CCCCN,-4.24
CCCC(=O)OCC,-2.49
CCCCCCI,0.08
CCCCC#N,-3.52
C(C(F)(Cl)Cl)(F)(F)Cl,1.77
COP(=O)(OC)OC,-8.7
CCCC(C)C,2.51
C(C(F)(F)F)Cl,0.06
C=C,1.28
CCCCCI,-0.14
COC(OC)OC,-4.42
CCCCCCCCCC,3.16
C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],-4.95
CC=C,1.32
CC(C)(C)O,-4.47
COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC,-12.74
CC(=CCC/C(=C/CO)/C)C,-4.45
CC(C)C(C)C(C)C,2.56
